time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.659350065730128e-07,-1.587199127603236e-08,10.003473457933229,6.283164275704657,0.000584700135972227,0.0,-6.117654438081001e-05,-1.6165628229572266e-06,0.11577644976948241,-0.0010610178158513642,0.02431037187960806,0.0,440.69435498821935,442.698793767155,442.1004394157906,442.01303269083655
0.12000000000000001,-2.401214404588298e-05,-9.416203454495478e-07,10.015171200831295,6.282934382672618,0.0023912745806633495,0.0,-0.0008965217609776279,-4.473752318355534e-05,0.2741226627570984,-0.010045660127271424,0.039725917750468326,0.0,454.04372372669445,455.2788355087782,455.822327632085,455.1039571759261
0.18,-0.0001477116161564322,-1.2294704127008627e-05,10.038326151336914,6.282480710132763,0.005363008812742542,0.0,-0.003554704323156642,-0.00039672075424042373,0.4976368680017219,-0.0030052373974927813,0.06415594679462963,0.0,473.421745060737,475.2987288319611,474.5367844509144,475.0769446056995
0.23999999999999996,-0.0004993219800433739,-5.2772874243269055e-05,10.073078811851556,6.282259648792458,0.010051254999604353,0.0,-0.008650522014197089,-0.0009747949781515681,0.6607012292761082,-0.005078496602173358,0.0970635369455128,0.0,456.0710528737324,458.695809545566,456.216548482046,456.0510750088189
0.3,-0.0012449899983257605,-0.00013130475932079458,10.11543308171324,6.28189729527114,0.015709898922940724,0.0,-0.01678255896769444,-0.0016763445872016048,0.7510452554133852,-0.00803352351790823,0.08814703861655938,0.0,434.38397453101896,433.643464769871,434.7235545533462,434.47600834675956
0.36000000000000004,-0.0026183438673084876,-0.00026140687329395044,10.164792412459159,6.281953715109271,0.020646605752409286,0.0,-0.029552522635691768,-0.00267867785084678,0.8941544170348548,0.014614496262541195,0.0667266324675475,0.0,452.0669872069272,450.34313637284373,449.879523598432,451.7093693531851
0.4200000000000001,-0.004871629300289438,-0.0004457951299768293,10.223228459662947,6.283118054695841,0.024662311270217785,0.0,-0.045998434988866,-0.0033528170675611543,1.053570189034718,0.027585322019605465,0.06732878783115623,0.0,455.6872091820271,455.7385607167878,456.252987537951,457.28721411382173
0.48000000000000015,-0.008114599066344754,-0.0006424710023221361,10.287793577723173,0.001497341158125387,0.028455858960015235,0.0,-0.06246868744135652,-0.0030517925505167856,1.09854786221849,0.02287456063352883,0.053409652769790136,0.0,421.06522440085365,419.86258698111584,420.3175543528657,419.9093240767079
0.5400000000000001,-0.012486314935451838,-0.0007880131260089371,10.357509482718525,0.002502833787453085,0.03158541017091121,0.0,-0.08358729482200646,-0.001669378936479947,1.2251772569971342,0.00026699012326225624,0.04953404713831556,0.0,446.9477094582907,446.63351335479473,447.3031637600448,445.4584291167705
0.6000000000000002,-0.01812581484199384,-0.000839127422155334,10.432776279935805,0.002894881100362845,0.03463831378308235,0.0,-0.104683119520942,-1.288077105501557e-05,1.2836414487351904,0.016792919002721403,0.05344844894120723,0.0,424.6629998225279,425.0003794127379,424.76971174761326,426.18434300887503
0.6600000000000003,-0.025181016131761536,-0.0007724056851797542,10.51407103614835,0.003646633198930438,0.03851154865774564,0.0,-0.13087465526153613,0.0023335275352785014,1.4260010099633607,0.002236035082835628,0.08060898760526405,0.0,450.628321550483,452.8211173524249,452.70989764678313,451.53708729159507
0.7200000000000003,-0.03389085277332657,-0.0005525957117659992,10.603712944862165,0.0037563190223073306,0.043290011149579755,0.0,-0.15996266110885615,0.005005839574485399,1.5618637080034057,0.0009994137853418582,0.07763254716093994,0.0,449.75768420797573,449.5215836641179,451.0624657659438,450.96255838222663
0.7800000000000004,-0.044609182987330145,-0.00015665207360941594,10.705117834301172,0.0038967005559529255,0.04809370799004409,0.0,-0.1978913611583703,0.008203453313903573,1.8178978705330273,0.004894050782974836,0.08452145326966644,0.0,486.37572418148466,486.89587402952395,486.13724601570317,486.4289144838448
0.8400000000000004,-0.057445687891129055,0.00041302156675375045,10.816147125632684,0.0038321604689661726,0.053194077119121275,0.0,-0.23048013101340195,0.010800106680692449,1.882945016619593,-0.01701649810849821,0.08595772009884214,0.0,429.19016887212354,429.31825721730297,430.1353537816385,428.27594496574153
0.9000000000000005,-0.0722003790905799,0.001123218980969154,10.928534731728483,0.002823665214198634,0.05830624323856615,0.0,-0.2617785473040128,0.012787616682738078,1.8633133242982354,-0.016395011529484263,0.08364950363901488,0.0,400.34357254707095,400.14035057320524,401.9621546704171,402.0185187875011
0.9600000000000005,-0.0893436508445994,0.0019556694158531385,11.046883834089893,0.0026074263687734245,0.06310231105164288,0.0,-0.3102306846892824,0.014897250224281967,2.081243490159739,0.01418565201191732,0.07122253760143216,0.0,477.68903133836346,476.74513260315155,474.7508666988109,477.09138040471163
1.0200000000000005,-0.10962495051861987,0.0029213831081327467,11.18014052190667,0.0032573056856506355,0.06696801211747783,0.0,-0.366309950904942,0.01738931767335235,2.360068941205115,0.003098178473350672,0.045208489974598226,0.0,495.9653545262238,494.0535831499682,495.19217965011103,494.3758229169485
1.0800000000000005,-0.13342002695104896,0.004053240311867126,11.330941325519701,0.0035356700485600356,0.06966496042314763,0.0,-0.427174769235355,0.020367900971855517,2.6659263862760696,0.007556409669163904,0.044425482723654625,0.0,504.3623464084452,504.3066954230278,502.6920193242617,503.01487457353124
1.1400000000000006,-0.1603052893013937,0.00534002876105003,11.491056531016678,0.004242556349628224,0.07184731851713355,0.0,-0.46922414799532697,0.022576929541667106,2.671210122338182,0.01911755709251998,0.010911949500094534,0.0,415.23073600140003,412.2808456668104,412.7592755551339,413.77821066010324
